SITE,evap_anom,midsoil_anom,topsoil_anom,deepsoil_anom,Mean_cattle_density,s0_trend,sd_trend,ss_trend,e0_trend,c3_c4ratio,AHGF_FPC,Dryag_prop,Irriag_prop,racLdry_trend,EVItrend
1419,0.033565661,-0.244677675,-0.126493526,-0.114860731,8.076115,-0.015025746,-0.557885307,-0.412394031,-0.015142133,0.304275672,0.24767,0.082940983,0,-0.299127769,-0.000793213
1420,0.031980278,-0.415868566,-0.203174012,0.004276698,10.71885,-0.078119078,-0.058455663,-0.15931934,-0.018128505,0.267782624,0.03594,0.437259569,0,-0.373792292,-0.001074688
1421,0.032428466,-0.312748673,-0.168869127,0.007982603,10.74715,-0.048473359,-0.131651441,-0.302086661,-0.020386006,0.267459535,0.01859,0.310883545,0.002309064,-0.017745517,-0.001785192
1422,0.031498204,-0.40547355,-0.20712934,0.004030979,10.3284,-0.07690693,-0.059672458,-0.097170496,-0.019923325,0.27392322,0.01418,0.615191377,0,-0.176316722,-0.00173512
1423,0.032428466,-0.312748673,-0.168869127,0.007982603,10.74715,-0.048473359,-0.131651441,-0.302086661,-0.020386006,0.266928035,0.01859,0.310883545,0.002309064,-0.104816097,-0.001428134
1424,0.032447819,-0.391080885,-0.204989563,0.005593192,14.22305,-0.075779234,-0.075119113,-0.157540955,-0.01961514,0.274064541,0.07356,0.019579947,0,-0.31456772,-0.00095894
1425,0.032428466,-0.312748673,-0.168869127,0.007982603,10.74715,-0.048473359,-0.131651441,-0.302086661,-0.020386006,0.273928045,0.04478,0.461807158,0,-0.61543912,-0.001043612
1426,0.031980278,-0.415868566,-0.203174012,0.004276698,10.71885,-0.078119078,-0.058455663,-0.15931934,-0.018128505,0.270863113,0.04302,0.363607147,0,0.009781973,-0.000995765
1427,0.033747608,-0.331477993,-0.176643578,0.005396222,12.06465,-0.062179367,-0.058233962,-0.115211014,-0.020613808,0.265781122,0.04181,0.598713785,0,-0.06703456,-0.001324398
1428,0.03072601,-0.236985486,-0.111914009,0.00681594,71.76255,-0.049164798,-0.158000611,-0.599619614,-0.01610055,0.333749426,0.05073,0.443916864,0,-0.278501012,-0.002396177
1429,0.030788999,-0.328358447,-0.193826868,-0.003754774,159.586,-0.035072148,-0.07078186,-0.296649757,-0.017190404,0.280072594,0.11928,0.05299678,0,-0.324311665,-0.001605571
1430,0.032428466,-0.312748673,-0.168869127,0.007982603,10.74715,-0.048473359,-0.131651441,-0.302086661,-0.020386006,0.274006823,0.01785,0.246635294,0,0.116560287,-0.001496451
